location_key,country_name,year,tong_ca_mac_moi,tong_ca_tu_vong,tong_ca_phuc_hoi,luy_ke_ca_mac,luy_ke_tu_vong,ty_le_tu_vong_pct
ID,Indonesia,2020,743202,22138,611097,743198,22138,2.979
PH,Philippines,2020,477294,11459,157243,477292,11459,2.401
MM,Myanmar,2020,125616,2711,0,125616,2711,2.158
MY,Malaysia,2020,113014,471,88940,113010,471,0.417
SG,Singapore,2020,58629,29,0,58629,29,0.049
TH,Thái Lan,2020,6885,61,4240,6884,61,0.886
VN,Việt Nam,2020,1474,35,0,1474,35,2.374
KH,Campuchia,2020,379,0,0,379,0,0.0
BN,Brunei,2020,157,3,0,157,3,1.911
TL,Timor-Leste,2020,44,0,0,44,0,0.0
LA,Lào,2020,41,0,0,41,0,0.0
ID,Indonesia,2021,3519522,121956,3503237,4262720,144094,3.465
MY,Malaysia,2021,2645076,31016,2596438,2758086,31487,1.173
PH,Philippines,2021,2366669,39873,251743,2843869,51504,1.685
TH,Thái Lan,2021,2216551,21637,2164254,2223435,21698,0.976
VN,Việt Nam,2021,1744618,32575,0,1746092,32610,1.867
MM,Myanmar,2021,405409,16563,0,531025,19274,4.086
SG,Singapore,2021,221232,800,0,279861,829,0.362
KH,Campuchia,2021,120128,3012,0,120507,3012,2.507
LA,Lào,2021,112042,374,0,112083,374,0.334
TL,Timor-Leste,2021,19795,122,0,19839,122,0.616
BN,Brunei,2021,15334,58,0,15491,61,0.378
VN,Việt Nam,2022,9701942,10522,0,11448034,43132,0.108
TH,Thái Lan,2022,2448711,10905,2460902,4672146,32603,0.445
ID,Indonesia,2022,2139966,13755,2101377,6402686,157849,0.643
MY,Malaysia,2022,2055616,4812,2064820,4813702,36299,0.234
SG,Singapore,2022,1587307,775,0,1867168,1604,0.049
PH,Philippines,2022,1067618,10912,0,3911487,62416,1.022
BN,Brunei,2022,209119,69,0,224610,130,0.033
LA,Lào,2022,103074,383,0,215157,757,0.372
MM,Myanmar,2022,86714,170,0,617739,19444,0.196
KH,Campuchia,2022,17232,44,0,137739,3056,0.255
TL,Timor-Leste,2022,3398,16,0,23237,138,0.471
